X,Y,Tm,P,tree_genus,BURNCLAS
-137.598117420413,65.8664371529187,12.2,46.0,Pice,4.0
-128.76944675137,67.5350885157488,17.6,52.2,Pice,4.0
-133.3400227433,65.8808034262624,12.5,69.6,Pice,4.0
-131.063006311907,65.5973999650155,16.1,69.6,Pice,4.0
-125.444037869043,66.7549739437982,19.1,43.0,Pice,4.0
-123.412258561883,67.030997707093,15.0,30.1,Pice,4.0
-137.471383785075,63.2636588848247,12.2,46.0,Pice,4.0
-129.665781400629,65.5909020957827,17.3,19.0,Pice,4.0
-128.006486467473,65.8502285793149,18.4,52.2,Pice,4.0
-126.204889990525,66.2457279585189,17.3,74.0,Pice,4.0
-127.322508941573,65.5238774328735,15.6,19.0,Pice,4.0
-126.513205944464,65.4190393881153,15.6,19.8,Pice,4.0
-126.220731699943,65.3226258379171,17.3,74.0,Pice,4.0
-126.445644971194,64.9031829452492,17.3,74.0,Pice,4.0
-134.970443240816,62.5731679727914,15.9,29.9,Pice,4.0
-117.84654530227,65.9507025888239,19.1,23.4,Pice,4.0
-121.314074355904,65.2219584440426,15.0,30.1,Pice,4.0
-120.795722009223,65.2583404726957,11.7,14.8,Pice,4.0
-123.563775150608,64.6074349907928,12.0,14.8,Pice,4.0
-118.9740421806,65.5279363802819,19.1,23.4,Pice,4.0
-125.266209541336,64.1973469936571,15.7,0.7,Pice,4.0
-120.400023041379,64.9419900964258,11.7,14.8,Pice,4.0
-123.629111023621,64.3683788587798,15.0,30.1,Pice,4.0
-121.508369093864,64.7221418582262,15.0,30.1,Pice,4.0
-122.471084824297,64.5020345964067,15.0,30.1,Pice,4.0
-118.789335745075,64.9636158580246,17.5,5.8,Pice,4.0
-116.216506004226,65.2742643441917,18.7,23.4,Pice,4.0
-123.689635082804,63.9303432121627,17.3,30.1,Pice,4.0
-121.097080784112,64.4352112381371,19.7,21.8,Pice,4.0
-121.85895884197,64.2021295694778,17.4,13.6,Pice,4.0
-119.31924447086,64.7378003094622,17.5,5.8,Pice,4.0
-116.273511519663,65.0492948427817,14.6,5.8,Pice,4.0
-121.439751511264,64.2286797706843,19.7,21.8,Pice,4.0
-116.782902434006,65.0328659605746,18.7,23.4,Pice,4.0
-120.036453963395,64.4486242935921,17.5,5.8,Pice,4.0
-118.605014661048,64.6519655460279,17.5,5.8,Pice,4.0
-116.890272698517,64.9449599742093,18.7,23.4,Pice,4.0
-121.233490942737,64.0098173962859,19.7,21.8,Pice,4.0
-120.349900078179,63.8376995014282,19.7,21.8,Pice,4.0
-115.558103872642,64.6991473669443,14.3,61.8,Pice,4.0
-118.221623626152,64.1935074217674,19.1,23.4,Pice,4.0
-124.287527013991,62.9274950149061,17.4,13.6,Pice,4.0
-116.548231275612,63.9897022040888,14.6,5.8,Pice,4.0
-118.83272550996,63.9086566521568,19.1,23.4,Pice,4.0
-118.001412576633,63.5103698510604,15.0,5.8,Pice,4.0
-116.315434138221,64.257211480037,18.7,23.4,Pice,4.0
-121.566934942035,63.2489889471833,19.7,21.8,Popu,4.0
-114.640817995434,64.3553298951391,18.3,9.2,Pice,4.0
-121.770290569195,63.2135180519502,17.3,30.1,Popu,4.0
-115.710679524228,64.0821528216315,14.6,5.8,Pice,4.0
-114.200599631008,64.3807194441893,12.9,56.4,Pice,4.0
-114.885097152079,64.1608344214601,18.3,9.2,Pice,4.0
-113.605497439836,64.3285299391105,18.3,9.2,Pice,4.0
-114.535365648329,64.0888070560348,17.0,5.0,Pice,4.0
-114.107544309155,64.1099452865788,17.0,5.0,Pice,4.0
-123.417680345435,62.46178630784,17.4,13.6,Pice,4.0
-115.557895040606,63.8717619895677,17.0,5.0,Pice,4.0
-114.831338729532,63.82929568875,18.3,9.2,Pice,4.0
-113.440927453169,64.0682583506789,18.3,9.2,Pice,4.0
-124.157410277392,62.0224681666868,17.9,73.1,Abie,4.0
-113.054140211065,63.928736511116,18.3,9.2,Pice,4.0
-125.631671361458,61.5648133177631,15.8,14.5,Pice,4.0
-123.071993895373,62.1282096819072,15.8,91.3,Pice,4.0
-112.565395933272,63.7571102139025,17.0,5.0,Pice,4.0
-114.7083289338,63.1348470751731,18.1,14.6,Pinu,4.0
-125.868999400792,61.3219887831572,15.8,14.5,Abie,4.0
-114.05524912313,63.4971777813921,12.9,56.4,Pice,4.0
-122.468823856819,61.9521626736321,15.8,91.3,Pinu,4.0
-111.595912907568,63.5209767596359,17.0,6.8,Pice,4.0
-111.826876971193,63.4906521410078,18.3,9.2,Pice,4.0
-112.744925666544,63.2995150209757,18.3,9.2,Pice,4.0
-116.471201424798,62.5074576821865,15.0,5.8,Pinu,4.0
-112.364803910878,63.3048650484935,12.9,56.4,Pice,4.0
-111.938351582586,63.2786901448596,12.7,52.5,Pice,4.0
-114.787326329467,62.6964751211502,18.1,14.6,Pice,4.0
-112.137144538308,62.6452151336663,12.6,2.6,Pice,4.0
-112.63453741742,63.0995008274799,18.3,9.2,Pice,4.0
-120.362672077512,61.5205115195822,19.7,21.8,Betu,4.0
-120.238802772983,61.720711887746,19.7,21.8,Pice,4.0
-121.541811450965,61.4940306846138,16.8,37.8,Pice,4.0
-115.999738734277,62.3920391616017,13.7,61.8,Pinu,4.0
-115.835525970132,61.8671984666636,13.5,5.0,Pinu,4.0
-114.030268615219,62.6912387946769,13.6,56.4,Pinu,4.0
-113.81879403937,62.6802132036681,13.6,56.4,Pice,4.0
-120.6242250545,61.4350539765462,19.7,21.8,Pice,4.0
-115.612149232926,62.2904116757768,13.7,61.8,Pinu,4.0
