X,Y,Tm,P,S,BS,Tx,POLY_HA,tree_genus,BURNCLAS
-140.259159520593,66.8571674805877,12.9,31.6,,,27.4,2375.20837554,Pice,4.0
-136.612391393738,67.540101380588,7.3,16.0,,,23.9,345.498081549,Pice,4.0
-137.052146471854,67.278038161089,7.3,16.0,,,23.9,530.4801425,Pice,4.0
-139.334882642017,66.410795582083,12.9,31.6,,,27.4,398.082184358,Pice,4.0
-135.468622017598,67.5681625286617,10.1,45.8,,,23.2,88.8655407554,Pice,4.0
-129.857489961437,68.5748888035075,13.6,48.2,,,30.1,11.7854611007,Pice,4.0
-134.753473732719,67.2095840358642,10.1,45.8,,,23.2,94.752653401,Pice,4.0
-136.790327191531,66.4170035169357,7.3,16.0,,,23.9,3041.30384381,Pice,4.0
-138.032518745239,65.8686864581537,12.1,29.0,,,29.6,6716.66846203,Pice,4.0
-136.932927363097,65.7587201631901,7.3,16.0,,,23.9,4904.36615759,Pice,4.0
-136.32085119695,65.6561921464804,10.1,45.8,,,23.2,537.599742376,Pice,4.0
-140.257298876319,64.1278260969475,12.1,29.0,,,29.6,877.808631753,Abie,4.0
-134.170620550791,66.0948375391246,11.7,45.9,,,27.4,614.114817787,Pice,4.0
-140.156898025913,63.79087137812,12.1,29.0,,,29.6,911.179812702,Pice,4.0
-139.939473953817,63.2237081130601,13.7,44.2,,,28.2,2536.66724437,Pice,4.0
-140.272725523617,62.8830217430921,13.7,44.2,,,28.2,2603.41814279,Popu,4.0
-139.36043465228,63.2343705797827,13.7,44.2,,,28.2,1424.89757743,Popu,4.0
-138.020332158668,63.722096078822,13.7,44.2,,,28.2,1097.16833823,Pice,4.0
-138.152270971263,63.586716862288,13.7,44.2,,,28.2,350.881656287,Pice,4.0
-138.706226451541,63.1388539481365,12.1,29.0,,,29.6,14419.9168193,Pinu,4.0
-134.756339646669,64.1310775751824,13.2,19.6,0.0,,28.9,2386.60219071,Pice,4.0
-138.81072747654,62.7112477638504,8.5,26.1,,,26.6,1254.74856873,Pice,4.0
-133.793075456966,64.3111375860652,11.1,5.2,,,27.4,944.3173688,Abie,4.0
-139.187282072431,62.401342527242,12.2,13.1,,,23.8,277.563823294,Popu,4.0
-139.084993777737,62.2268121672673,8.2,28.8,,,23.2,7688.87902509,Popu,4.0
-127.57594022485,65.6968821756262,15.5,81.4,0.0,,26.8,70.3150599579,Pice,4.0
-137.520210165152,62.7386924271291,14.7,32.5,0.0,,29.0,2684.5330106,Pice,4.0
-136.284660724777,63.1881870818185,14.1,28.8,0.0,,27.3,4618.84999422,Popu,4.0
-133.102768220427,64.1980161102232,11.1,5.2,,,27.4,771.410277415,Pice,4.0
-126.480861782233,65.8713094551647,13.6,39.3,,,30.9,23.8052051594,Pice,4.0
-127.054348429822,65.6728092524697,9.5,8.0,4.8,,30.0,152.694307762,Popu,4.0
-134.783256899031,63.495770198563,14.1,28.8,0.0,,27.3,3505.71691064,Pice,4.0
-135.869932936147,63.039218346388,14.1,28.8,0.0,,27.3,367.440966921,Pice,4.0
-132.464251474047,64.0338173143648,11.1,5.2,,,27.4,861.487764966,Pice,4.0
-133.349744150666,63.7415865398567,13.3,38.8,,,25.4,706.750127419,Pice,4.0
-127.187626461949,65.0629664895445,9.5,8.0,4.8,,30.0,3024.13030606,Pice,4.0
