,BURNCLAS,Tm,P,tree_genus,ClusterID
0,4.0,13.1,0.0,0,4
1,4.0,10.5,33.3,0,5
2,4.0,8.4,95.9,1,0
3,4.0,13.1,0.0,0,4
4,4.0,9.8,20.5,2,4
5,4.0,9.8,20.5,0,4
6,4.0,10.5,33.3,1,5
7,4.0,10.5,33.3,1,5
8,4.0,9.8,20.5,1,4
9,4.0,13.1,49.2,0,5
10,4.0,13.4,16.5,0,4
11,4.0,14.2,95.9,0,0
12,4.0,13.4,16.5,0,4
13,4.0,13.4,16.5,0,4
14,4.0,6.2,21.4,0,4
15,4.0,9.9,9.3,0,4
16,4.0,14.2,95.9,3,0
17,4.0,9.2,5.5,0,4
18,4.0,8.8,5.5,0,4
19,4.0,13.2,95.9,3,0
20,4.0,16.7,81.0,1,0
21,4.0,8.3,22.5,0,4
22,4.0,12.9,15.4,1,4
23,4.0,15.1,77.0,0,6
24,4.0,18.7,60.0,0,6
25,4.0,18.7,60.0,0,6
26,4.0,8.8,94.5,0,0
27,4.0,8.8,5.5,0,4
28,4.0,18.7,60.0,0,6
29,4.0,18.7,60.0,0,6
30,4.0,17.9,40.0,3,5
31,4.0,14.6,81.4,4,0
32,4.0,13.3,93.0,3,0
33,4.0,17.5,60.0,3,6
34,4.0,16.6,31.1,0,5
35,4.0,12.4,60.0,0,6
36,4.0,16.5,55.2,0,6
37,4.0,18.2,60.0,3,6
38,4.0,18.2,60.0,0,6
39,4.0,16.6,31.1,0,5
40,4.0,16.0,43.0,1,5
41,4.0,16.6,31.1,0,5
42,4.0,12.3,100.3,2,0
43,4.0,12.3,100.3,0,0
44,4.0,16.6,31.1,0,5
45,4.0,11.7,63.2,3,6
46,4.0,16.6,31.1,0,5
47,4.0,13.0,1.2,3,4
48,4.0,18.2,95.4,1,0
49,4.0,14.8,26.0,0,5
50,4.0,14.9,18.5,3,4
51,4.0,14.8,26.0,1,5
52,4.0,14.3,13.8,0,4
53,4.0,11.4,43.1,3,5
54,4.0,18.2,61.4,3,6
55,4.0,13.8,5.6,0,4
56,4.0,14.3,36.8,0,5
57,4.0,15.1,37.2,0,5
58,4.0,14.9,18.5,3,4
59,4.0,13.8,5.6,0,4
60,4.0,14.8,26.0,3,5
61,1.0,16.3,99.4,0,0
62,4.0,9.6,52.3,0,6
63,4.0,13.8,5.6,0,4
64,4.0,13.1,10.1,1,4
65,4.0,15.3,16.0,1,4
66,4.0,7.8,11.8,0,4
67,4.0,13.1,10.1,1,4
68,4.0,12.8,32.0,0,5
69,4.0,13.8,5.6,3,4
70,4.0,13.0,39.6,0,5
71,4.0,19.4,55.8,1,6
72,4.0,13.1,10.1,3,4
73,4.0,7.8,11.8,0,4
74,4.0,12.1,42.8,1,5
75,4.0,9.8,8.4,0,4
76,3.0,9.8,1.0,3,4
77,4.0,13.8,5.6,0,4
78,4.0,13.0,39.6,0,5
79,4.0,17.4,102.6,0,0
80,4.0,13.4,137.5,0,1
81,4.0,15.9,126.6,0,1
82,4.0,11.7,9.0,3,4
83,4.0,14.2,101.4,0,0
84,4.0,11.7,9.0,5,4
85,4.0,11.7,9.7,0,4
86,4.0,13.0,39.6,0,5
87,2.0,10.3,3.2,0,4
88,4.0,12.4,10.5,1,4
89,4.0,5.6,16.0,3,4
90,4.0,14.3,42.6,3,5
91,4.0,14.3,42.6,3,5
92,4.0,13.3,30.2,3,5
93,4.0,13.0,39.6,0,5
94,2.0,11.9,8.9,0,4
95,4.0,14.8,100.6,0,0
96,4.0,14.2,101.4,0,0
97,4.0,13.2,68.9,0,6
98,3.0,11.5,8.0,0,4
99,1.0,11.0,22.6,5,4
100,4.0,14.8,86.6,3,0
101,4.0,18.4,32.0,0,5
102,4.0,9.8,30.6,5,5
103,4.0,11.7,8.6,0,4
104,4.0,11.5,8.0,1,4
105,2.0,9.8,30.6,0,5
106,4.0,10.7,45.0,0,5
107,4.0,13.2,107.8,0,0
108,4.0,13.4,30.0,0,5
109,4.0,16.9,123.8,5,1
