X,Y,Tm,P,tree_genus,BURNCLAS
-140.209464460193,66.9600420651881,15.3,27.9,Pice,4.0
-136.824943213028,67.6888886079377,14.0,0.0,Pice,4.0
-137.065623424246,67.4774037867276,14.0,0.0,Pice,4.0
-137.780283894574,67.1925721748989,14.0,0.0,Pice,4.0
-133.415685693256,68.4500151305488,13.0,11.2,Pice,4.0
-139.206977744278,66.6807964451467,15.3,27.9,Pice,4.0
-133.063613548948,68.4087987796796,17.3,80.2,Pice,4.0
-133.558550107927,68.2708810450375,14.4,11.2,Pice,4.0
-130.223894525995,68.9976896573397,13.8,80.2,Pice,4.0
-135.675192035301,67.3505316897579,14.0,0.0,Pice,4.0
-132.157404038095,68.1581996290019,17.3,80.2,Pice,4.0
-132.190910994796,67.935857586214,13.0,11.2,Pice,4.0
-130.288212273025,68.3202527742565,18.3,47.0,Pice,4.0
-135.49861773205,66.9792202540737,14.0,0.0,Pice,4.0
-131.927448433837,67.9030572742132,13.0,11.2,Pice,4.0
-134.947345004303,67.0231744999875,14.0,0.0,Pice,4.0
-134.994772125764,66.8631445471797,13.7,0.0,Pice,4.0
-132.611690248616,67.5227143352426,17.3,80.2,Pice,4.0
-129.188121563355,68.1747098932582,17.8,3.9,Pice,4.0
-137.482584212223,65.8942487529788,14.3,33.4,Pice,4.0
-137.557359156603,65.8363774001674,14.3,33.4,Pice,4.0
-135.071002147423,66.533820517342,14.0,0.0,Pice,4.0
-134.160921768618,66.3528714429167,14.4,11.2,Pice,4.0
-129.399491575943,67.479544718804,18.3,47.0,Pice,4.0
-140.037675677789,64.3038377420086,15.4,26.6,Pice,4.0
-134.270522915922,66.1332554353151,14.0,0.0,Pice,4.0
-126.259082056329,68.0640895758808,11.9,27.2,Pice,4.0
-136.691038092646,65.3157292758327,14.0,0.0,Pice,4.0
-134.317423837152,65.9953923596526,14.0,0.0,Popu,4.0
-133.750181365349,65.904075787321,14.4,11.2,Pice,4.0
-128.18470118685,67.2075175519622,18.5,3.9,Pice,4.0
-135.23319068735,65.3974632267114,14.9,28.8,Popu,4.0
-134.917439061918,65.3993490608647,14.9,28.8,Popu,4.0
-133.047652937665,65.9088654321079,13.0,11.2,Pice,4.0
-132.851606442086,65.6375020552507,13.0,11.2,Pice,4.0
-131.532533703393,65.9362075182183,18.3,47.0,Pice,4.0
-131.145832047394,65.9978361184363,17.8,3.9,Pice,4.0
-137.642016478937,64.0259117326246,14.3,33.4,Pice,4.0
-130.97462060091,65.947083147134,17.8,3.9,Pice,4.0
-130.471236332456,65.9481492864225,17.8,3.9,Pice,4.0
-136.172521499964,64.2409165076816,14.9,28.8,Abie,4.0
-129.19716318911,66.1811437356258,18.5,3.9,Popu,4.0
-127.073125223513,66.6223426244162,11.9,27.2,Pice,4.0
-136.629123346059,64.0192968819291,14.9,28.8,Abie,4.0
-131.127712178937,65.6311419979444,17.8,3.9,Pice,4.0
-129.564478068004,65.9046256609142,16.2,56.5,Pice,4.0
-137.166773955198,63.7086872795294,14.3,33.4,Pice,4.0
-130.063354133689,65.6742495232538,17.8,3.9,Pice,4.0
-129.724440730879,65.5053081253669,18.5,3.9,Pice,4.0
-129.04704876662,65.6448443177138,19.0,47.0,Pice,4.0
-124.454431181154,66.487245417729,14.3,73.2,Pice,4.0
-137.577266966567,62.6468671662501,15.0,71.4,Pice,4.0
-128.415285364004,65.2693032843397,19.0,47.0,Pice,4.0
-129.30150966256,65.0434871676576,18.5,3.9,Pice,4.0
-126.435110963102,65.5653235855097,16.5,27.2,Pice,4.0
-133.375025711903,63.590289771162,13.2,49.0,Abie,4.0
-136.214655290867,62.4660084324596,13.4,52.2,Pice,4.0
-133.997489959904,63.0644436298121,13.2,49.0,Pice,4.0
-133.798016715432,62.8773476350865,13.2,49.0,Pinu,4.0
-123.534380755542,65.4073110233677,12.6,27.2,Pice,4.0
-132.369855452365,62.7823478871578,13.2,49.0,Pice,4.0
-119.591119479928,65.5104818981578,19.1,34.2,Pice,4.0
-118.919882472847,65.6128221025936,19.1,34.2,Pice,4.0
-122.463690170166,64.9421519884148,12.6,27.2,Pice,4.0
-126.372173262148,64.0995426342021,16.5,27.2,Pice,4.0
-122.465383876215,64.825326573587,12.6,27.2,Pice,4.0
-131.389081577809,62.5421682465382,9.2,99.6,Pice,4.0
-118.826302194968,65.3746065004594,19.1,34.2,Pice,4.0
-117.067197728627,65.6219566169583,19.1,34.2,Pice,4.0
-116.527902752228,65.5482950232898,19.1,34.2,Pice,4.0
-118.138048457354,65.3232105991424,19.1,34.2,Pice,4.0
-116.821613392456,65.4353357718166,19.1,34.2,Pice,4.0
-115.323229973202,65.6035799388651,12.4,31.3,Pice,4.0
-116.495377026305,65.3156226674745,19.1,34.2,Pice,4.0
-117.961428326561,64.8059498559033,16.3,4.2,Pice,4.0
-118.517091282735,64.7232300580257,16.3,4.2,Pice,4.0
-115.680159639042,65.0218144226871,19.1,34.2,Pice,4.0
-115.374441125995,64.8854174748787,15.7,25.0,Pice,4.0
-127.646856042521,62.4088023723334,13.5,70.9,Pice,4.0
-121.056394075844,63.5812169423237,17.2,45.2,Pinu,4.0
-129.852574245744,61.3081959727385,13.3,19.8,Abie,4.0
-117.365083006499,64.0499832555796,16.3,4.2,Pice,4.0
-123.388298592901,62.7518836192553,19.1,0.0,Pice,4.0
-126.784780011189,61.8276097525586,15.9,49.3,Pice,4.0
-113.395520910173,64.0129224469247,13.9,5.0,Pice,4.0
-128.990699443553,60.8018282247214,13.7,43.0,Abie,4.0
-123.886474761736,62.0887637532526,19.1,0.0,Abie,4.0
-122.432385441993,62.4044373714663,18.9,44.2,Popu,4.0
-124.300366155372,61.8298930632223,17.7,0.0,Pice,4.0
-113.769072722956,63.6304375542189,13.9,5.0,Pice,4.0
-125.706435744117,61.2291919437516,17.7,0.0,Abie,4.0
-116.861658414187,63.1064710083014,18.4,34.2,Pinu,4.0
-122.0707895695,62.044170773843,15.9,114.6,Pice,4.0
-125.523731254315,61.0209127384515,17.7,0.0,Abie,4.0
-116.733800065981,62.6495744547625,7.9,17.8,Pinu,4.0
-128.781834215588,60.0242026526273,13.4,83.0,Pice,4.0
-125.649292277412,60.7215226551528,17.7,0.0,Abie,4.0
-126.271622681696,60.5158272898196,11.4,78.4,Pinu,4.0
-124.029804417436,60.9721653293536,16.8,21.5,Abie,4.0
-129.032911074212,59.4907912315367,13.7,52.6,Pinu,4.0
-125.888757284346,60.3241331972029,15.6,35.0,Abie,4.0
-124.947101196603,60.5352597824398,15.6,21.5,Abie,4.0
-124.09324311939,60.6723952238123,16.8,21.5,Pinu,4.0
-113.064492232198,62.7911267811564,7.9,19.1,Pice,4.0
-126.98235944623,59.9617095234627,13.8,50.8,Pice,4.0
-125.729838529626,60.2369335601571,15.6,35.0,Pice,4.0
-109.699686242486,63.0736065078202,17.1,137.7,Pice,4.0
-128.237006515588,59.3368894565336,13.8,50.8,Pinu,4.0
-111.832510184531,62.7035338863997,9.8,25.6,Pice,4.0
-125.149000079478,60.0738076351221,14.6,88.8,Pinu,4.0
-115.25702230257,62.0900472961153,19.4,34.2,Pinu,4.0
-124.349640724765,60.2511435969325,19.7,8.0,Pinu,4.0
-115.951705581654,61.8888706307452,16.8,72.8,Popu,4.0
-127.597585955554,59.2402364240867,13.8,50.8,Pinu,4.0
-124.841626480501,59.889562074935,17.4,30.0,Pice,4.0
-121.722351138913,60.5500772997533,20.1,38.2,Pice,4.0
-118.270455001806,60.9609524272971,16.6,72.8,Pinu,4.0
-120.814691387289,60.3558844211103,17.2,45.2,Pice,4.0
-118.613051729331,60.7781369039843,19.6,11.8,Pice,4.0
-119.633113107627,60.5304960948446,19.6,11.8,Pinu,4.0
-120.266528584415,60.3411637491559,20.1,38.2,Pice,4.0
-123.722993172905,59.581208429136,19.7,8.0,Popu,4.0
-123.633456195391,59.5086629919437,19.7,8.0,Popu,4.0
-120.450967081885,60.193368757581,20.1,38.2,Pice,4.0
-127.323980985805,58.5250019070062,14.6,88.8,Abie,4.0
-121.692332747844,59.895673447076,19.5,28.0,Pice,4.0
-117.668298000945,60.6738420279893,19.6,11.8,Betu,4.0
-121.533055723318,59.8347166659965,17.0,46.2,Pice,4.0
-119.464186583685,60.0772021415592,19.6,11.8,Pinu,4.0
-126.548721728296,58.4862034466778,14.6,88.8,Abie,4.0
-118.554630067048,60.344543927328,14.7,18.0,Pice,4.0
-120.844793682479,59.7829426724651,20.1,38.2,Pice,4.0
-125.219330338181,58.8090399017191,15.6,35.0,Pinu,4.0
-124.983290005635,58.8545299999988,15.6,35.0,Pice,4.0
-117.820996636702,60.3737230400744,16.6,72.8,Pice,4.0
-119.149261961093,60.1109898836346,14.7,18.0,Pice,4.0
-126.142365994637,58.3870858184348,14.6,88.8,Abie,4.0
-116.761921747211,60.5088361824345,16.8,72.8,Popu,4.0
-119.689746865178,59.833195062786,20.1,38.2,Pice,4.0
-110.849543383534,61.2833222405981,13.0,13.8,Pinu,4.0
-118.739903724621,59.9130388067576,14.7,18.0,Pice,4.0
-118.425379426544,59.897955760818,14.7,18.0,Pice,4.0
-119.513788252068,59.5978854991624,16.1,15.3,Pice,4.0
-113.703146114165,60.6487589613282,13.6,50.4,Pice,4.0
-116.767233702478,60.0716633951467,12.9,18.0,Pinu,4.0
-119.117932167428,59.6558147336281,18.9,32.1,Pice,4.0
-118.163680625292,59.3505460912139,14.8,43.8,Pice,2.0
-123.171724154785,58.7275922854238,17.5,43.4,Pice,4.0
-113.850327704671,60.3430046674783,20.2,53.0,Pinu,4.0
-117.010366300995,59.7890085667701,10.5,18.1,Popu,4.0
-121.186942572892,58.8708229877439,19.5,28.0,Pinu,4.0
-116.540764580514,59.8057271526699,19.2,11.8,Pice,4.0
-123.880195684549,58.1620250354358,9.9,1.8,Pice,4.0
-120.565225964376,58.9872821205828,12.6,1.2,Pice,4.0
-117.099979342938,59.5761663471011,18.9,32.1,Pice,4.0
-115.633225159379,59.7811082711605,19.2,10.0,Pice,4.0
-114.708174076997,59.9431343309349,19.2,10.0,Pinu,4.0
-122.031277904133,58.3520522200156,17.0,46.2,Pice,4.0
-122.232980004131,58.3871399984468,17.0,46.2,Pice,4.0
-123.949187895132,57.8950710403069,9.9,1.8,Abie,4.0
-112.895784245063,60.1245640645973,19.9,71.4,Pice,4.0
