X,Y,BURNCLAS,Tm,P,tree_genus
-137.281899024297,66.8540167650462,4.0,13.1,0.0,Pice
-132.664987913966,67.7808294916208,4.0,10.5,33.3,Pice
-134.437550001211,66.241071388991,4.0,8.4,95.9,Popu
-136.47859521273,65.6199272375705,4.0,13.1,0.0,Pice
-139.26734924961,64.3740348973587,4.0,9.8,20.5,Abie
-140.041212365847,63.493175289696,4.0,9.8,20.5,Pice
-132.656086931569,65.8597539419139,4.0,10.5,33.3,Popu
-132.506666715885,65.7523593489664,4.0,10.5,33.3,Popu
-138.576049617856,63.7336470166727,4.0,9.8,20.5,Popu
-128.280373059546,66.5117285660291,4.0,13.1,49.2,Pice
-127.806548986087,66.4466558736757,4.0,13.4,16.5,Pice
-136.306535206466,64.0911497336907,4.0,14.2,95.9,Pice
-130.736286094776,65.6336064395122,4.0,13.4,16.5,Pice
-131.172621403753,65.4879727556716,4.0,13.4,16.5,Pice
-138.774152972334,62.4946659226336,4.0,6.2,21.4,Pice
-126.218041287823,66.128481012568,4.0,9.9,9.3,Pice
-134.474750666117,63.0645935525023,4.0,14.2,95.9,Pinu
-123.900524123641,65.6844491677726,4.0,9.2,5.5,Pice
-123.095826412431,65.7901649247445,4.0,8.8,5.5,Pice
-135.97952616254,62.3197438290355,4.0,13.2,95.9,Pinu
-124.958656814502,64.886388513018,4.0,16.7,81.0,Popu
-135.043799780458,61.7221160053699,4.0,8.3,22.5,Pice
-125.166597621576,64.2670000650388,4.0,12.9,15.4,Popu
-119.058529912971,65.3810441775649,4.0,15.1,77.0,Pice
-116.507230435113,65.5423075299841,4.0,18.7,60.0,Pice
-116.024112874996,65.5932703379106,4.0,18.7,60.0,Pice
-130.645172978148,62.0952804022511,4.0,8.8,94.5,Pice
-121.637536372315,64.2226645207098,4.0,8.8,5.5,Pice
-118.751024858748,64.6486721909829,4.0,18.7,60.0,Pice
-116.334766507636,64.9187510301527,4.0,18.7,60.0,Pice
-120.478552562725,63.9470958616417,4.0,17.9,40.0,Pinu
-122.114007415904,63.5469413574233,4.0,14.6,81.4,Betu
-129.298100650634,59.6800961379895,4.0,13.3,93.0,Pinu
-116.553470348749,62.6151874639573,4.0,17.5,60.0,Pinu
